"filename", "language", "JavaScript", "JSON", "JSON with Comments", "Markdown", "YAML", "TypeScript", "TypeScript JSX", "Ignore", "SCSS", "XML", "HTML", "Batch", "CSS", "comment", "blank", "total"
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\Header\SearchOverlay\types.ts", "TypeScript", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 5, 50
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\Header\SearchOverlay\useSearchOverlay.ts", "TypeScript", 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 2, 11, 105
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\Header\components\ProfileMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 3, 95
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\Header\components\SearchInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 3, 37
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\Header\index.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\Header\types.ts", "TypeScript", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 6, 85
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\Header\useHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 303, 0, 0, 0, 0, 0, 0, 3, 20, 326
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\HotkeysModal\HotkeysModal.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 216, 0, 0, 0, 0, 0, 28, 244
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\HotkeysModal\HotkeysModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 3, 8, 131
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\HotkeysModal\index.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\Language\LanguageContext.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\Language\LanguageProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 1, 8, 46
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\Language\index.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\Layout\MainLayout.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 2, 6, 49
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\Layout\MainLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 2, 10, 66
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\Layout\index.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\Library\LibraryProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 1, 16, 124
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\Library\SyncHistoryModal.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 243, 0, 0, 0, 0, 0, 38, 281
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\Library\SyncHistoryModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 12, 135
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\Library\index.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\LyricsView\LyricsPanel.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 467, 0, 0, 0, 0, 1, 66, 534
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\LyricsView\LyricsPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 7, 84
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\LyricsView\components\EmptyLyrics.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 4, 35
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\LyricsView\components\LyricsContent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 2, 38
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\LyricsView\components\LyricsHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 4, 54
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\LyricsView\components\LyricsSearch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 4, 58
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\LyricsView\index.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
